,Pop,Females,Median_Age,Veterans,White_People,Afr_Am_People,Asian,American_Ind_Alk_Ntv,Cuban_Origin,Puerto_Rican_Origin,Dominican_Origin,Mexican_Origin,Native_US,Foreign_Born,Children,Married_Households,Less_Highschool,Bachelor_Holders,Labor_Force_Eligible,Unemployed,Median_Household_Income,Median_Income,Below_Poverty_Level_LTM,Wealthy_Households,Gini_Index,Median_Age_Of_Worker,Workers,Working_Agricult,Working_Construction,Working_Manufacturing,Working_Retail,Working_Transportation,Working_Finance,Working_Education,Working_Health,Working_Food,Working_Public_Admin,Working_Information,Median_Gross_Rent,District_Name,State_Id,CD,State_Full,State,CD_ID
0,683142,327416,32.7,246800,467650,25161,31878,91939,740,4386,1861,20848,623541,45028,183165,118716,38836,71482,22727,545,64635,28194,64038,9559,0.411,38.8,46305,58088,51644,57367,79250,57994,42500,68099,24684,37159,36423,50000,5.0,"Congressional District (at Large), Alaska (111th Congress)",02,AL,Alaska,AK,AK-AL
1,668448,345287,37.4,235577,456197,185026,9046,6472,1071,920,185,6551,646598,18005,168840,130713,76043,59060,18831,0,41627,21686,115881,5602,0.464,40.2,35101,47702,48232,44510,62091,54889,38907,40075,16717,29849,27312,40519,5.8,"Congressional District 1, Alabama (111th Congress)",01,01,Alabama,AL,AL-01
2,655471,335644,36.9,229625,433193,201824,5232,3022,253,1982,63,9010,633779,14702,161457,122247,85790,53006,20175,918,39538,20634,110398,4295,0.463,39.3,33361,47072,44195,45427,57086,47614,39676,36007,16463,28473,27251,42300,5.6,"Congressional District 2, Alabama (111th Congress)",01,02,Alabama,AL,AL-02
3,651344,337253,36.1,234186,422522,208835,6316,1919,429,2012,56,6145,631316,14344,151544,119840,92774,47230,21366,9,37304,19571,118973,4030,0.473,37.8,34618,49105,47824,46631,58662,49651,40731,40958,16320,29101,27770,44636,5.5,"Congressional District 3, Alabama (111th Congress)",01,03,Alabama,AL,AL-03
4,648061,330377,39.2,237257,592514,32885,2371,3681,1094,731,19,23675,623730,21550,155322,139019,113125,35570,16927,73,37379,19680,107987,3420,0.449,40.2,32879,46905,42658,45197,61878,50778,41509,37491,16038,28975,27823,41451,5.6,"Congressional District 4, Alabama (111th Congress)",01,04,Alabama,AL,AL-04
5,682092,349662,38.1,246009,527692,119445,9110,5107,303,1355,40,15808,650708,25114,161941,140555,78251,79386,18887,157,45832,23580,92043,6429,0.453,39.9,38616,58602,55105,57090,85363,63705,44963,44617,19081,30354,28893,44097,5.8,"Congressional District 5, Alabama (111th Congress)",01,05,Alabama,AL,AL-05
6,716273,366836,37.5,260027,611902,78735,10508,1400,418,785,98,14942,684755,26782,173994,158507,58645,102357,18499,27,57328,29989,57706,14490,0.463,40.1,44500,57283,53947,53872,68912,54719,41925,48121,20241,37901,33303,45242,6.1,"Congressional District 6, Alabama (111th Congress)",01,06,Alabama,AL,AL-06
7,611671,324028,34.4,210300,212921,383188,4072,1368,177,556,52,11610,593313,15589,150685,83470,79580,41734,19609,51,31021,17432,154845,1726,0.468,37.5,31560,43772,43124,43169,59187,49655,34918,40017,18710,28865,28744,40865,5.4,"Congressional District 7, Alabama (111th Congress)",01,07,Alabama,AL,AL-07
8,673394,346067,38.4,241256,543082,112100,2924,3091,99,643,93,11537,660800,9158,165420,136376,98866,41613,19010,0,34266,18604,133769,3011,0.452,40.0,30548,41298,40766,39969,50532,41688,37500,32999,15950,27004,25669,36891,5.3,"Congressional District 1, Arkansas (111th Congress)",05,01,Arkansas,AR,AR-01
9,718060,369947,35.7,254662,535412,148186,9190,2890,204,1100,195,21065,685213,27175,176745,138759,64447,76786,21430,73,43741,23113,105164,7516,0.462,38.4,36054,49161,48720,48038,63229,56125,38617,37039,17084,31380,28797,39724,5.4,"Congressional District 2, Arkansas (111th Congress)",05,02,Arkansas,AR,AR-02
10,788957,398570,35.1,286605,683935,19905,15028,9316,393,1506,190,61111,725567,57621,202282,160089,95603,72634,22682,21,41543,21531,122158,5873,0.45,38.4,32130,46977,50027,44444,54348,45179,33560,35006,16585,29516,27794,41117,5.3,"Congressional District 3, Arkansas (111th Congress)",05,03,Arkansas,AR,AR-03
11,657732,334814,39.3,241343,466369,159164,3978,3936,85,904,8,23564,636769,18165,156733,127975,89281,44386,20304,37,34464,18473,127697,3084,0.46,40.5,31400,42497,43622,40125,56728,51652,26757,31846,15796,25710,25159,36736,5.3,"Congressional District 4, Arkansas (111th Congress)",05,04,Arkansas,AR,AR-04
12,731577,363688,36.0,274045,614893,23143,21734,12003,1461,4329,226,125882,615461,107926,179571,127217,56705,101683,18927,32,57034,30564,82051,16187,0.476,39.7,42382,60305,53036,57885,69053,55948,48164,47449,19967,37154,33827,42144,5.6,"Congressional District 3, Arizona (111th Congress)",04,03,Arizona,AZ,AZ-03
13,751088,356919,27.9,265537,522110,56770,11242,19597,1298,3015,445,461573,505755,239696,251010,86994,152182,34313,22580,0,37573,21688,203988,2363,0.441,34.9,29853,47570,43644,46831,55621,50486,42042,44807,18167,31024,30467,39769,4.9,"Congressional District 4, Arizona (111th Congress)",04,04,Arizona,AZ,AZ-04
14,701692,348625,35.6,276350,587908,23349,31010,19441,975,2949,255,102806,600781,93950,151983,124303,38017,123342,19286,0,61175,31570,71072,20543,0.477,38.2,45194,63846,55701,60441,77845,54920,46759,51224,21414,38711,34618,42976,5.5,"Congressional District 5, Arizona (111th Congress)",04,05,Arizona,AZ,AZ-05
15,927682,465348,34.1,323619,776752,25856,28617,10077,809,4386,900,162095,811809,105732,266733,184854,66384,110472,23883,25,60414,30315,79565,11912,0.407,38.0,44160,60012,53094,57151,76318,55792,53163,56403,19457,38364,35129,41644,5.7,"Congressional District 6, Arizona (111th Congress)",04,06,Arizona,AZ,AZ-06
16,834577,416788,31.2,286314,547396,31845,14207,47677,1480,4359,114,428128,647389,176862,247533,132383,130232,50143,27230,360,40025,20804,173120,3192,0.431,36.9,32690,47023,44578,44396,64116,45833,38115,51386,17933,30107,29595,38250,5.1,"Congressional District 7, Arizona (111th Congress)",04,07,Arizona,AZ,AZ-07
17,755793,387545,41.1,275894,628400,26403,20890,7173,1244,4604,117,133975,667566,73910,165351,149797,47668,106825,18932,498,50893,26781,80800,10490,0.443,40.9,41162,55921,51820,55335,78845,54315,45461,53462,18638,32896,30787,39993,5.4,"Congressional District 8, Arizona (111th Congress)",04,08,Arizona,AZ,AZ-08
18,728695,360000,38.0,274732,492540,10453,5253,149653,585,1915,13,117451,677164,46900,184007,129693,82577,53405,23278,19,41483,20817,133098,4208,0.445,40.8,35497,47972,45354,46714,62285,52048,38922,43087,17618,31171,30708,39272,5.2,"Congressional District 1, Arizona (111th Congress)",04,01,Arizona,AZ,AZ-01
19,893761,456652,38.4,319135,736937,29463,20348,18644,676,4363,523,155260,798107,85665,226480,180592,78513,85510,22977,164,53568,27373,90346,7981,0.409,39.9,40593,52831,47327,50379,63881,48188,41655,54559,20876,35994,33612,39369,5.6,"Congressional District 2, Arizona (111th Congress)",04,02,Arizona,AZ,AZ-02
20,702123,354171,37.5,256655,564406,8600,29765,12453,271,1632,33,106121,620323,74580,170955,132331,72842,61825,24281,103,43959,21496,111222,5807,0.45,39.9,39162,55650,51091,56292,67094,59656,31146,72538,21803,33905,32630,53671,5.3,"Congressional District 2, California (111th Congress)",06,02,California,CA,CA-02
21,755863,380291,37.5,275566,546414,44886,74373,7236,489,3168,144,82025,632997,112830,193862,149331,52993,99144,22349,11,66231,32334,64800,12447,0.412,41.1,50638,66329,56293,67232,77536,70196,60572,78534,23089,41532,38598,53416,5.7,"Congressional District 3, California (111th Congress)",06,03,California,CA,CA-03
22,750010,370597,41.1,288471,642272,12324,31639,9056,536,2834,131,63334,680991,61302,175224,162064,46221,103241,21759,34,64980,30924,59462,16377,0.43,42.8,51608,71294,64416,68265,81549,69342,52928,76121,22121,42866,37900,54889,5.7,"Congressional District 4, California (111th Congress)",06,04,California,CA,CA-04
